岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
python应用开发工程师,深圳市智胜益辉科技有限公司,9千-1.2万,深圳-龙岗区,本科,1年经验,民营,,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 弹性工作 通讯补贴 餐饮补贴 定期体检,12-20,https://jobs.51job.com/shenzhen-lgq/142517781.html?s=sou_sou_soulb&t=0_0
Python开发工程师,优合集团有限公司,1.2-2万·14薪,深圳,本科,2年经验,民营,150-500人,五险一金 员工旅游 绩效奖金 年终奖金 周末双休,12-20,https://jobs.51job.com/shenzhen/144870865.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市顶尖传诚科技有限公司,1.2-1.8万,深圳,本科,3-4年经验,民营,150-500人,五险一金 免费班车 弹性工作,12-20,https://jobs.51job.com/shenzhen/143116565.html?s=sou_sou_soulb&t=0_0
Python开发工程师,成都迈思信息技术有限公司,1-1.5万,深圳,本科,1年经验,民营,1000-5000人,五险一金 年终奖金 弹性工作,12-20,https://jobs.51job.com/shenzhen/91164220.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市建筑设计研究总院有限公司,1.5-3万,深圳-南山区,本科,2年经验,国企,500-1000人,五险一金 年终奖金 专业培训 定期体检 部门活动 节假日福利 带薪年假,12-20,https://jobs.51job.com/shenzhen-nsq/138228515.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市众云网有限公司,1.8-3万,深圳-南山区,本科,3-4年经验,民营,150-500人,五险一金 弹性工作 年终奖金 周末双休,12-20,https://jobs.51job.com/shenzhen-nsq/142884402.html?s=sou_sou_soulb&t=0_0
Python开发工程师,中讯志远（武汉）科技有限公司,0.8-1万,深圳-福田区,大专,2年经验,民营,50-150人,年终奖金 五险一金,12-20,https://jobs.51job.com/shenzhen-ftq/133330321.html?s=sou_sou_soulb&t=0_0
初级Python开发工程师,蓝网科技股份有限公司,1-1.5万,深圳,本科,2年经验,民营,150-500人,五险一金 员工旅游 周末双休 年终奖金 通讯补贴 绩效奖金 弹性工作,12-20,https://jobs.51job.com/shenzhen/135951231.html?s=sou_sou_soulb&t=0_0
Python开发工程师,珠高电气检测有限公司,15-25万/年,深圳-南山区,本科,1年经验,民营,50-150人,五险一金 定期体检 年终奖金 绩效奖金 交通补贴 专业培训 通讯补贴 周末双休 餐饮补贴 包吃,12-20,https://jobs.51job.com/shenzhen-nsq/140770675.html?s=sou_sou_soulb&t=0_0
软件开发工程师-python,杭州宏杉科技股份有限公司,1.2-2万,深圳-南山区,本科,2年经验,民营,500-1000人,五险一金 带薪年假 专业培训 年终奖金 补充医疗保险 节日福利 育儿假 定期体检,12-19,https://jobs.51job.com/shenzhen-nsq/137190012.html?s=sou_sou_soulb&t=0_0
Python开发工程师,中讯志远（武汉）科技有限公司,1-1.5万,深圳-福田区,大专,2年经验,民营,50-150人,年终奖金 五险一金,12-20,https://jobs.51job.com/shenzhen-ftq/138491907.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市同和信息技术有限公司,1.5-1.9万,深圳-南山区,大专,3-4年经验,民营,1000-5000人,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 免费班车,12-19,https://jobs.51job.com/shenzhen-nsq/144824229.html?s=sou_sou_soulb&t=0_0
